HD_2022,precinct_2022,act_22_D_votes,tdp_22_est_D_votes,dnc_22_est_D_votes
70,950356,906,999,1017
70,950357,,,0
70,950361,,,0
70,950364,,,1
70,950367,838,890,908
70,950370,1112,1220,1260
70,950371,523,558,596
70,950373,599,619,624
70,950374,1092,1187,1206
70,950375,,1,0
70,950377,892,925,944
70,950385,,,1
70,950387,64,67,60
70,950390,,,0
74,1709505,441,493,450
74,1709514,556,604,566
74,1991516,,5,5
74,1991552,,1,1
74,2012677,567,603,557
74,2012705,741,771,723
74,2047007,98,126,128
74,2047352,145,167,181
74,949879,368,436,466
74,949880,375,394,406
74,949881,117,122,117
74,949882,397,430,460
74,949883,42,35,33
74,949884,194,213,209
74,949885,57,50,48
74,949886,194,213,219
74,950525,79,130,128
74,950526,89,137,134
74,950527,81,122,117
74,950528,,12,10
74,950529,,137,136
74,951577,0,1,1
74,951603,1017,1060,1004
74,951606,581,618,583
74,951607,867,956,903
74,951618,46,57,54
74,953546,60,120,122
74,953547,73,80,79
74,953548,55,78,76
74,953549,,31,32
74,953550,,52,54
74,953638,120,117,118
74,953639,82,87,85
74,953640,89,90,90
74,953641,33,41,41
74,953641,249,41,41
74,953642,68,62,59
74,953642,161,62,59
74,953934,61,72,72
74,953935,71,101,106
74,953936,96,92,96
74,953937,66,73,74
74,954425,357,392,429
74,954426,420,485,526
74,954427,927,1037,1120
74,954428,223,244,267
74,954429,458,546,584
74,954430,416,529,551
74,954431,18,34,34
74,954432,816,934,995
74,954433,872,1058,1139
74,954434,105,172,159
74,954435,318,382,411
74,954436,809,892,963
74,954437,139,159,172
74,954438,510,588,623
74,955081,159,168,152
74,955082,138,148,147
74,955083,14,12,12
74,955084,249,273,262
74,955085,161,190,185
74,955086,3,4,5
74,955087,556,612,574
74,955157,204,279,298
74,955158,146,232,247
74,955159,3,8,9
74,955160,50,85,83
74,955161,10,17,15
74,955162,204,297,306
74,955163,62,87,95
74,955164,145,240,251
74,955165,123,138,144
74,956107,28,49,56
74,956108,2,62,70
74,956108,29,62,70
74,956109,38,50,62
74,956110,10,26,35
74,956110,3,26,35
74,956110,2,26,35
74,956500,409,534,559
74,956501,280,400,413
74,956502,0,89,93
74,956502,1,89,93
74,956502,44,89,93
74,956502,58,89,93
74,956503,277,121,112
74,956504,16,18,16
74,956505,282,270,276
74,956506,282,360,369
74,956507,35,55,59
74,956508,249,224,231
74,956509,368,504,526
74,956510,582,765,793
74,956511,24,38,38
74,956512,277,276,285
74,956513,750,995,1020
74,956514,299,231,238
74,956515,4,4,4
74,956516,6,10,9
94,1710043,1049,1068,1073
94,1710044,115,112,105
94,1710078,10,12,13
94,1710095,7,10,8
94,1710103,46,45,47
94,1793342,56,49,48
94,1816422,2,2,3
94,1941639,310,325,324
94,2009604,131,142,139
94,2046883,4,7,8
94,955558,580,586,588
94,955619,170,174,177
94,955656,281,273,264
94,955657,556,562,552
94,955658,504,493,493
94,955666,545,554,538
94,955668,418,428,442
94,955669,,,1
94,955671,338,352,349
94,955672,552,551,545
94,955673,,,0
94,955676,706,714,703
94,955678,633,663,664
94,955680,722,725,722
94,955681,61,64,65
94,955682,598,598,606
94,955684,725,750,729
94,955686,650,660,637
94,955688,365,384,404
94,955692,616,635,637
94,955693,514,513,499
94,955695,332,329,318
94,955704,433,436,429
94,955706,567,595,595
94,955707,544,545,549
94,955713,427,437,451
94,955714,,1,1
94,955715,752,742,747
94,955718,341,356,359
94,955719,368,402,395
94,955734,43,47,49
94,955735,0,1,2
94,955736,5,7,7
94,955750,41,37,37
94,955757,617,629,630
94,955760,,,1
94,955765,329,326,332
94,955788,295,280,275
94,955791,631,627,645
94,955803,290,292,293
94,955806,504,507,529
94,955810,562,549,554
94,955811,538,546,542
94,955812,751,784,797
94,955814,932,949,933
94,955819,467,487,505
94,955824,436,460,465
94,955825,421,425,425
94,955831,387,392,403
94,955832,806,877,916
94,955834,514,529,526
94,955835,298,323,327
94,955836,341,373,375
94,955837,386,398,414
94,955842,530,515,520
94,955847,385,393,388
94,955862,182,176,188
94,955878,0,1,1
94,955886,121,125,133
94,955889,608,592,578
94,955902,431,423,433
96,1239909,,529,520
96,1239912,,760,739
96,1239915,,477,480
96,1710045,,145,148
96,1710046,,110,116
96,1710053,,2,1
96,1710055,,345,366
96,1710057,,415,406
96,1710063,,129,124
96,1710080,,51,55
96,1710093,,745,719
96,1710094,,104,104
96,1941640,,443,439
96,1941641,,909,898
96,2009597,,162,157
96,2009616,,575,588
96,2009622,,,0
96,2009623,,866,865
96,2046702,,1109,1074
96,955506,,742,739
96,955508,,498,509
96,955574,,30,35
96,955577,,967,944
96,955582,,454,479
96,955591,,,0
96,955606,,,0
96,955642,,270,291
96,955643,,4,4
96,955660,,274,281
96,955661,,537,549
96,955664,,428,421
96,955677,,235,235
96,955685,,645,641
96,955687,,505,494
96,955696,,115,127
96,955697,,170,177
96,955699,,716,704
96,955708,,461,460
96,955709,,425,427
96,955710,,1049,1054
96,955711,,843,846
96,955714,,535,539
96,955720,,534,536
96,955725,,386,385
96,955726,,783,773
96,955727,,735,754
96,955728,,561,557
96,955729,,666,678
96,955741,,853,855
96,955742,,510,517
96,955754,,119,115
96,955760,,343,335
96,955761,,1083,1071
96,955764,,513,511
96,955766,,804,793
96,955768,,403,409
96,955769,,,0
96,955770,,864,885
96,955776,,323,328
96,955778,,439,438
96,955785,,,0
96,955787,,521,525
112,1708898,,,1
112,1709016,1101,1206,1224
112,1709017,1135,1161,1132
112,1709018,738,803,775
112,1709019,334,359,365
112,1709020,708,745,727
112,1709021,551,590,559
112,1709022,753,778,746
112,1709024,525,546,543
112,1709025,505,522,510
112,1709026,789,825,766
112,1709064,975,1013,994
112,1709065,813,915,872
112,1709066,583,590,575
112,1709067,,,1
112,1709075,,,0
112,1709076,,,0
112,1709081,,,1
112,1709083,,,1
112,1709123,,,0
112,1709211,0,0,0
112,2046554,638,646,652
112,2046564,1057,1193,1181
112,2046685,773,833,815
112,2046698,344,366,360
112,2046708,397,420,422
112,2046724,1111,1200,1205
112,2046782,275,283,301
112,2046797,903,929,914
112,2046838,637,694,684
112,2046841,933,996,977
112,2046946,479,448,430
112,2046965,324,332,323
112,2047027,703,816,821
112,2047034,143,175,182
112,2047064,773,872,847
112,2047084,460,508,514
112,2047161,615,647,642
112,2047201,555,562,564
112,2047324,279,304,304
112,2047329,720,816,813
112,2047436,765,822,818
112,2047449,572,620,623
112,2047458,1436,1530,1522
112,2047497,500,567,562
112,2047517,227,247,243
112,950663,,,0
112,950664,,,1
112,950665,,,1
112,950666,,,2
112,950670,517,521,515
112,950707,,2,1
112,950835,515,540,538
112,950836,405,437,431
112,950837,452,545,545
