sos_precinct_id,party,HD,total,pct,eday,mail,early
,Laurel Jordan Swift,,589,53.21%,58,44,487
BEXAR 3027,3027 BS 57,121,,,,,
,,,,,,,
,Marc LaHood,,487,46.83%,53,22,412
,Laurel Jordan Swift,,553,53.17%,64,43,446
BEXAR 3028,3028 BS 70,118,,,,,
,,,,,,,
,John Lujan III,,712,50.42%,97,12,603
,Kristian Carranza,,700,49.58%,106,45,549
BEXAR 3039,3039 BS 73,121,,,,,
,,,,,,,
,Marc LaHood,,1888,62.75%,324,65,1499
,Laurel Jordan Swift,,1121,37.25%,201,59,861
BEXAR 3040,3040 BS 57,121,,,,,
,,,,,,,
,Marc LaHood,,721,49.55%,119,34,568
,Laurel Jordan Swift,,734,50.45%,92,52,590
BEXAR 3046,3046 BS 57,121,,,,,
,,,,,,,
,Marc LaHood,,510,42.89%,55,24,431
,Laurel Jordan Swift,,679,57.11%,70,75,534
BEXAR 3047,3047 BS 57,121,,,,,
,,,,,,,
,Marc LaHood,,598,43.52%,64,35,499
,Laurel Jordan Swift,,776,56.48%,95,65,616
BEXAR 3048,3048 BS 57,121,,,,,
,,,,,,,
,Marc LaHood,,500,41.98%,51,30,419
,Laurel Jordan Swift,,691,58.02%,70,78,543
BEXAR 3049,3049 BS 57,121,,,,,
,,,,,,,
,Marc LaHood,,751,47.99%,70,40,641
,Laurel Jordan Swift,,814,52.01%,90,63,661
BEXAR 3050,3050 BS 57,121,,,,,
,,,,,,,
,Marc LaHood,,361,49.45%,43,22,296
,Laurel Jordan Swift,,369,50.55%,41,36,292
BEXAR 3052,3052 BS 57,121,,,,,
,,,,,,,
,Marc LaHood,,628,58.26%,138,17,473
,Laurel Jordan Swift,,450,41.74%,91,19,340
BEXAR 3053,3053 BS 57,121,,,,,
,,,,,,,
,Marc LaHood,,651,48.47%,80,93,478
,Laurel Jordan Swift,,692,51.53%,81,111,500
BEXAR 3059,3059 BS 57,121,,,,,
,,,,,,,
,Marc LaHood,,702,53.42%,142,29,531
,Laurel Jordan Swift,,612,46.58%,119,41,452
BEXAR 3060,3060 BS 57,121,,,,,
,,,,,,,
,Marc LaHood,,596,44.81%,122,37,437
,Laurel Jordan Swift,,734,55.19%,104,51,579
BEXAR 3065,3065 BS 57,121,,,,,
,,,,,,,
,Marc LaHood,,1263,54.75%,218,42,1003
,Laurel Jordan Swift,,1044,45.25%,191,48,805
BEXAR 3072,3072 BS 67,121,,,,,
,,,,,,,
,Marc LaHood,,1858,57.15%,321,54,1483
,Laurel Jordan Swift,,1393,42.85%,206,76,1111
BEXAR 3080,3080 BS 57,121,,,,,
,,,,,,,
,Marc LaHood,,430,55.77%,49,19,362
,Laurel Jordan Swift,,341,44.23%,47,21,273
BEXAR 3081,3081 BS 57,121,,,,,
,,,,,,,
,Marc LaHood,,668,46.68%,97,46,525
,Laurel Jordan Swift,,763,53.32%,97,47,619
BEXAR 3082,3082 BS 57,121,,,,,
,,,,,,,
,Marc LaHood,,814,50.81%,145,26,643
,Laurel Jordan Swift,,788,49.19%,107,45,636
BEXAR 3083,3083 BS 57,121,,,,,
,,,,,,,
,Marc LaHood,,573,53.10%,81,34,458
,Laurel Jordan Swift,,506,46.90%,89,49,368
BEXAR 3084,3084 BS 57,121,,,,,
,,,,,,,
,Marc LaHood,,1127,49.74%,200,19,908
,Laurel Jordan Swift,,1139,50.26%,170,60,909
BEXAR 3085,3085 BS 57,121,,,,,
,,,,,,,
,Marc LaHood,,402,50.31%,55,20,327
,Laurel Jordan Swift,,397,49.69%,54,31,312
BEXAR 3087,3087 BS 70,118,,,,,
,,,,,,,
,John Lujan III,,628,54.61%,79,31,518
,Kristian Carranza,,522,45.39%,74,39,409
BEXAR 3088,3088 BS 57,121,,,,,
,,,,,,,
,Marc LaHood,,1496,52.73%,282,98,1116
,Laurel Jordan Swift,,1341,47.27%,253,100,988
BEXAR 3090,3090 BS 57,121,,,,,
,,,,,,,
,Marc LaHood,,1108,52.51%,184,41,883
,Laurel Jordan Swift,,1002,47.49%,161,75,766
BEXAR 3100,3100 BS 70,118,,,,,
,,,,,,,
,John Lujan III,,1116,46.83%,213,25,878
,Kristian Carranza,,1267,53.17%,201,49,1017
BEXAR 3103,3103 BS 70,118,,,,,
,,,,,,,
,John Lujan III,,235,47.19%,53,4,178
,Kristian Carranza,,263,52.81%,37,9,217
BEXAR 3104,3104 BS 57,121,,,,,
,,,,,,,
,Marc LaHood,,970,52.57%,119,31,820
,Laurel Jordan Swift,,875,47.43%,109,71,695
BEXAR 3105,3105 BS 70,118,,,,,
,,,,,,,
,John Lujan III,,1136,50.69%,188,22,926
,Kristian Carranza,,1105,49.31%,141,57,907
BEXAR 3108,3108 BS 57,121,,,,,
,,,,,,,
,Marc LaHood,,710,55.95%,120,34,556
,Laurel Jordan Swift,,559,44.05%,87,31,441
BEXAR 3110,3110 BS 70,118,,,,,
,,,,,,,
,John Lujan III,,1061,50.81%,200,31,830
,Kristian Carranza,,1027,49.19%,159,36,832
BEXAR 3114,3114 BS 57,121,,,,,
,,,,,,,
,Marc LaHood,,1033,60.44%,104,48,881
,Laurel Jordan Swift,,676,39.56%,86,62,528
BEXAR 3116,3116 BS 67,121,,,,,
,,,,,,,
,Marc LaHood,,764,58.41%,127,15,622
,Laurel Jordan Swift,121,544,41.59%,102,29,413
,,,,,,,
,Marc LaHood,,1153,53.33%,130,65,958
,Laurel Jordan Swift,,1009,46.67%,85,96,828
BEXAR 3118,3118 BS 57,121,,,,,
,,,,,,,
,Marc LaHood,,268,44.67%,46,18,204
,Laurel Jordan Swift,,332,55.33%,54,38,240
BEXAR 3120,3120 BS 57,121,,,,,
,,,,,,,
,Marc LaHood,,1141,51.68%,198,26,917
,Laurel Jordan Swift,,1067,48.32%,169,45,853
BEXAR 3121,3121 BS 57,121,,,,,
,,,,,,,
,Marc LaHood,,1136,53.33%,232,39,865
,Laurel Jordan Swift,,994,46.67%,149,67,778
BEXAR 3122,3122 BS 57,121,,,,,
,,,,,,,
,Marc LaHood,,791,48.77%,123,20,648
,Laurel Jordan Swift,,831,51.23%,127,66,638
BEXAR 3123,3123 BS 73,121,,,,,
,,,,,,,
,Marc LaHood,,437,58.89%,68,13,356
,Laurel Jordan Swift,,305,41.11%,43,9,253
