HD_2020,precinct_2020,act_20_D_votes,tdp_20_est_D_votes,dnc_20_est_D_votes
70,950245,,137.0,141.0
70,950247,,610.0,505.0
70,950248,,1795.0,1683.0
70,950251,,1120.0,1031.0
70,950255,,183.0,178.0
70,950257,,925.0,855.0
70,950273,,1997.0,1995.0
70,950278,,1146.0,1190.0
70,950279,,480.0,489.0
70,950292,,1514.0,1434.0
70,950331,,415.0,405.0
70,950332,,362.0,296.0
70,950333,,352.0,342.0
70,950334,,95.0,94.0
70,950335,,4.0,4.0
70,950337,,768.0,607.0
70,950357,,1440.0,1182.0
70,950361,,1647.0,1566.0
70,950364,,1402.0,1349.0
70,950366,,896.0,760.0
70,950375,,1322.0,1103.0
70,950384,,1464.0,1378.0
70,950385,,521.0,524.0
70,950390,,932.0,893.0
70,950391,,1194.0,1149.0
70,950396,,65.0,66.0
74,949879,,677.0,677.0
74,949880,,452.0,448.0
74,949881,,150.0,157.0
74,949882,,581.0,597.0
74,949883,,36.0,39.0
74,949884,,240.0,257.0
74,949885,,61.0,65.0
74,949886,,339.0,358.0
74,950525,107,127.0,131.0
74,950526,104,168.0,175.0
74,950527,87,123.0,131.0
74,950528,,15.0,16.0
74,950529,111,150.0,153.0
74,953546,102,214.0,223.0
74,953547,87,178.0,194.0
74,953548,58,102.0,98.0
74,953548,12,102.0,98.0
74,953549,,58.0,57.0
74,953550,,76.0,80.0
74,953638,127,179.0,159.0
74,953639,122,122.0,119.0
74,953640,128,134.0,137.0
74,953641,44,54.0,48.0
74,953641,268,54.0,48.0
74,953642,241,75.0,74.0
74,953642,70,75.0,74.0
74,953934,98,167.0,158.0
74,953935,130,186.0,188.0
74,953936,158,187.0,202.0
74,953937,93,143.0,137.0
74,954162,0,7.0,6.0
74,954163,,5.0,5.0
74,954164,1,12.0,11.0
74,954164,3,12.0,11.0
74,954165,,3.0,4.0
74,954425,,293.0,320.0
74,954426,,1004.0,1086.0
74,954427,,1900.0,2069.0
74,954428,,303.0,322.0
74,954429,,1250.0,1405.0
74,954430,,882.0,995.0
74,954431,,62.0,67.0
74,954432,,1344.0,1431.0
74,954433,,1654.0,1810.0
74,954434,,240.0,249.0
74,954435,,345.0,375.0
74,954436,,1375.0,1467.0
74,954437,,469.0,496.0
74,954438,,883.0,970.0
74,955027,376,628.0,615.0
74,955028,393,630.0,652.0
74,955029,17,52.0,50.0
74,955030,76,164.0,168.0
74,955031,2,11.0,11.0
74,955032,35,45.0,46.0
74,955033,309,491.0,510.0
74,955034,35,63.0,64.0
74,955035,174,250.0,266.0
74,955081,219,145.0,160.0
74,955082,141,188.0,219.0
74,955083,17,15.0,17.0
74,955084,268,312.0,346.0
74,955085,241,203.0,239.0
74,955086,,9.0,10.0
74,955087,610,661.0,696.0
74,955156,,116.0,127.0
74,955157,265,293.0,317.0
74,955158,,341.0,370.0
74,955159,0,24.0,22.0
74,955160,87,152.0,157.0
74,955161,26,37.0,40.0
74,955162,281,298.0,305.0
74,955163,88,144.0,152.0
74,955164,209,286.0,324.0
74,955164,297,286.0,324.0
74,955165,225,256.0,278.0
74,955166,,327.0,341.0
74,956107,43,59.0,52.0
74,956108,,60.0,58.0
74,956109,18,63.0,53.0
74,956110,,53.0,43.0
74,956500,,724.0,814.0
74,956501,584,652.0,701.0
74,956502,,101.0,119.0
74,956503,291,184.0,207.0
74,956504,13,36.0,37.0
74,956505,475,614.0,675.0
74,956506,603,582.0,641.0
74,956507,68,94.0,83.0
74,956508,376,447.0,497.0
74,956509,624,476.0,522.0
74,956510,936,1620.0,1720.0
74,956511,34,68.0,70.0
74,956512,292,482.0,494.0
74,956513,1450,1487.0,1599.0
74,956514,,488.0,551.0
74,956515,2,7.0,6.0
74,956516,3,11.0,14.0
94,1710084,,1.0,1.0
94,1710101,198,184.0,203.0
94,1710104,47,44.0,48.0
94,2009597,206,222.0,192.0
94,955656,303,325.0,295.0
94,955657,631,709.0,615.0
94,955658,597,652.0,599.0
94,955660,324,389.0,337.0
94,955662,1619,1504.0,1610.0
94,955665,855,850.0,844.0
94,955668,469,585.0,488.0
94,955669,301,291.0,302.0
94,955671,386,422.0,380.0
94,955673,603,542.0,566.0
94,955674,378,842.0,836.0
94,955676,840,915.0,794.0
94,955677,270,312.0,263.0
94,955678,931,952.0,918.0
94,955680,886,947.0,875.0
94,955680,5,947.0,875.0
94,955682,736,779.0,720.0
94,955684,1179,1125.0,1141.0
94,955685,823,895.0,811.0
94,955686,837,893.0,792.0
94,955688,434,526.0,434.0
94,955691,784,749.0,820.0
94,955693,707,709.0,670.0
94,955699,870,947.0,855.0
94,955700,899,824.0,871.0
94,955701,507,515.0,543.0
94,955704,521,602.0,532.0
94,955706,707,731.0,641.0
94,955707,663,741.0,634.0
94,955709,537,590.0,516.0
94,955710,1297,1369.0,1233.0
94,955713,596,640.0,575.0
94,955714,660,741.0,666.0
94,955715,925,975.0,889.0
94,955719,539,575.0,514.0
94,955720,652,726.0,679.0
94,955726,1116,1158.0,1122.0
94,955728,719,790.0,714.0
94,955733,144,138.0,151.0
94,955734,88,81.0,82.0
94,955736,10,9.0,10.0
94,955750,64,56.0,66.0
94,955754,164,169.0,149.0
94,955757,811,842.0,781.0
94,955760,431,468.0,409.0
94,955763,521,495.0,522.0
94,955764,711,733.0,688.0
94,955765,390,446.0,424.0
94,955766,1099,1458.0,1370.0
94,955770,933,757.0,670.0
94,955777,628,586.0,617.0
94,955778,551,619.0,545.0
94,955782,1007,989.0,1037.0
96,1239909,,2176.0,2396.0
96,1239911,,1684.0,1727.0
96,1239912,1137,1114.0,1228.0
96,1239913,1619,1652.0,1717.0
96,1239915,546,679.0,590.0
96,1710045,161,157.0,158.0
96,1710046,119,163.0,150.0
96,1710055,409,556.0,504.0
96,1710057,553,516.0,553.0
96,1710063,217,211.0,224.0
96,1710080,55,75.0,74.0
96,1710093,1006,1063.0,1029.0
96,1710094,110,130.0,142.0
96,1941640,557,669.0,621.0
96,1941641,1196,1233.0,1229.0
96,2009616,610,722.0,700.0
96,2009621,761,755.0,778.0
96,2009622,440,467.0,469.0
96,2009623,1082,1168.0,1115.0
96,2009632,616,656.0,664.0
96,2009637,822,775.0,815.0
96,2009643,428,401.0,397.0
96,955505,1369,1363.0,1392.0
96,955506,914,1000.0,995.0
96,955508,502,800.0,695.0
96,955532,390,481.0,437.0
96,955576,1318,1728.0,1876.0
96,955577,1447,1462.0,1488.0
96,955582,513,700.0,640.0
96,955591,810,927.0,926.0
96,955606,1549,1567.0,1564.0
96,955611,1722,1621.0,1746.0
96,955642,286,459.0,391.0
96,955643,8,9.0,10.0
96,955661,633,738.0,685.0
96,955664,655,683.0,684.0
96,955687,595,675.0,636.0
96,955696,135,181.0,168.0
96,955697,195,237.0,233.0
96,955708,588,650.0,622.0
96,955711,1040,1152.0,1078.0
96,955725,473,544.0,525.0
96,955727,870,1051.0,953.0
96,955729,750,1006.0,863.0
96,955741,1158,1185.0,1186.0
96,955742,615,728.0,662.0
96,955761,1309,1480.0,1387.0
96,955768,385,604.0,504.0
96,955769,1497,1431.0,1514.0
96,955776,358,458.0,402.0
96,955779,661,659.0,712.0
96,955785,150,156.0,156.0
96,955787,652,729.0,718.0
112,1708898,,865.0,1020.0
112,1708902,,466.0,545.0
112,1709064,1437,1356.0,1416.0
112,1709065,998,1098.0,987.0
112,1709066,676,679.0,658.0
112,1709067,729,788.0,764.0
112,1709068,546,590.0,552.0
112,1709074,,1350.0,1289.0
112,1709075,,1881.0,1783.0
112,1709076,,1636.0,1450.0
112,1709077,,531.0,559.0
112,1709078,,1445.0,1530.0
112,1709079,,851.0,867.0
112,1709080,,1098.0,1051.0
112,1709081,,1265.0,1279.0
112,1709082,,1725.0,1632.0
112,1709083,,479.0,460.0
112,1709085,,1105.0,1101.0
112,1709091,,1.0,1.0
112,1709113,,2142.0,2107.0
112,1709118,,2237.0,2240.0
112,1709121,,464.0,411.0
112,1709122,,1677.0,1601.0
112,1709123,,1775.0,1629.0
112,950654,752,777.0,783.0
112,950655,659,731.0,739.0
112,950656,940,1029.0,1052.0
112,950657,1055,1160.0,1195.0
112,950661,231,217.0,257.0
112,950662,247,268.0,278.0
